,artist,title,track_n,line,lyrics,track_title
1,Evanescence,Origin,1,1,(I'm sure it's getting darker,Origin
2,Evanescence,Origin,1,2,Don't close your eyes,Origin
3,Evanescence,Origin,1,3,Don't make a sound,Origin
4,Evanescence,Origin,1,4,Don't make a sound),Origin
5,Evanescence,Origin,1,5,You hold the answer deep within your own mind,Origin
6,Evanescence,Origin,1,6,Death in its most hideous form,Origin
7,Evanescence,Origin,2,1,Catch me as I fall,Whisper (Origin)
8,Evanescence,Origin,2,2,Say you're here and it's all over now,Whisper (Origin)
9,Evanescence,Origin,2,3,Speaking to the atmosphere,Whisper (Origin)
10,Evanescence,Origin,2,4,No one's here and I fall into myself,Whisper (Origin)
11,Evanescence,Origin,2,5,This truth drives me,Whisper (Origin)
12,Evanescence,Origin,2,6,Into madness,Whisper (Origin)
13,Evanescence,Origin,2,7,I know I can stop the pain,Whisper (Origin)
14,Evanescence,Origin,2,8,If I will it all away,Whisper (Origin)
15,Evanescence,Origin,2,9,Don't turn away,Whisper (Origin)
16,Evanescence,Origin,2,10,(Don't give into the pain),Whisper (Origin)
17,Evanescence,Origin,2,11,Don't try to hide,Whisper (Origin)
18,Evanescence,Origin,2,12,(Though they're screaming your name),Whisper (Origin)
19,Evanescence,Origin,2,13,Don't close your eyes,Whisper (Origin)
20,Evanescence,Origin,2,14,(God knows what lies behind them),Whisper (Origin)
21,Evanescence,Origin,2,15,Don't turn out the light,Whisper (Origin)
22,Evanescence,Origin,2,16,"(Never sleep, never die)",Whisper (Origin)
23,Evanescence,Origin,2,17,I'm frightened by what I see,Whisper (Origin)
24,Evanescence,Origin,2,18,But somehow I know,Whisper (Origin)
25,Evanescence,Origin,2,19,That there's much more to come,Whisper (Origin)
26,Evanescence,Origin,2,20,Immobilized by my fear,Whisper (Origin)
27,Evanescence,Origin,2,21,And soon to be blinded by tears,Whisper (Origin)
28,Evanescence,Origin,2,22,I can stop the pain,Whisper (Origin)
29,Evanescence,Origin,2,23,If I will it all away,Whisper (Origin)
30,Evanescence,Origin,2,24,Don't turn away,Whisper (Origin)
31,Evanescence,Origin,2,25,(Don't give into the pain),Whisper (Origin)
32,Evanescence,Origin,2,26,Don't try to hide,Whisper (Origin)
33,Evanescence,Origin,2,27,(Though they're screaming your name),Whisper (Origin)
34,Evanescence,Origin,2,28,Don't close your eyes,Whisper (Origin)
