artist,songs,popularity,link,genre
10000 Maniacs,110,0.3,/10000-maniacs/,Rock
12 Stones,75,0.3,/12-stones/,Rock
311,196,0.5,/311/,Rock
4 Non Blondes,15,7.5,/4-non-blondes/,Rock
A Cruz EstÃ¡ Vazia,13,0,/a-cruz-esta-vazia/,Rock
Aborto ElÃ©trico,36,0.1,/aborto-eletrico/,Rock
Abril,36,0.1,/abril/,Rock
Abuse,13,0,/abuse/,Rock
AC/DC,192,10.8,/ac-dc/,Rock
ACEIA,0,0,/aceia/,Rock
Acid Tree,5,0,/acid-tree/,Rock
Adam Lambert,110,1.4,/adam-lambert/,Pop
Adrian Suirady,7,0,/adrian-suirady/,Rock
Aerosmith,249,16.5,/aerosmith/,Rock
Aliados,75,0.8,/aliados/,Rock
Alice Cooper,310,1.2,/alice-cooper/,Rock
Alter Bridge,74,1.4,/alter-bridge/,Rock
Amy Lee,33,0.5,/amy-lee/,Rock
Anberlin,98,0.1,/anberlin/,Rock
Andi Deris,44,0,/andi-deris/,Rock
Andrew W.K.,31,0,/andrew-w-k/,Rock
Andy (Brasil),7,0,/andy-brasil/,Rock
Angra,124,2.2,/angra/,Rock
Arthur Brown,2,0,/arthur-brown/,Rock
Asking Alexandria,77,1,/asking-alexandria/,Rock
Autoramas,67,0.1,/autoramas/,Rock
Avante,21,0,/avante/,Rock
Aylah,2,0,/aylah/,Rock
Badfinger,120,0.3,/badfinger/,Rock
Banda Base,5,0,/banda-base/,Rock
Banda ContraPlano,10,0,/banda-contraplano/,Rock
Banda Hodsi,4,0,/banda-hodsi/,Rock
Banda Sinara,7,0.1,/banda-sinara/,Rock
Banda Upfive,7,0,/banda-upfive/,Rock
Banda Www,19,0,/banda-www/,Rock
BarÃ£o Vermelho,160,3.8,/barao-vermelho/,Rock
Barba Grunge,3,0,/barba-grunge/,Rock
Beady Eye,33,0.1,/beady-eye/,Rock
Beastie Boys,188,0.6,/beastie-boys/,Hip Hop
Beeshop,39,0.2,/beeshop/,Rock
Ben Harper,164,2.5,/ben-harper/,Rock
Ben's Brother,18,0.3,/bens-brother/,Rock
Bili,4,0,/bili/,Rock
Billy Burnette,46,0,/billy-burnette/,Rock
Biosystem 55,4,0,/biosystem-55/,Rock
Biquini CavadÃ£o,162,3.4,/biquini-cavadao/,Rock
Black Veil Brides,84,0.6,/black-veil-brides/,Rock
Bleach,72,0,/bleach/,Rock
Bleck a Bamba,2,0,/bleck-a-bamba/,Hip Hop
Blowdrivers,4,0,/blowdrivers/,Rock
Blur,178,0.6,/blur/,Rock
Box-47,29,0,/box-47/,Rock
Breaking Benjamin,82,0.9,/breaking-benjamin/,Rock
Bring Me The Horizon,91,4.2,/bring-me-the-horizon/,Rock
Bruce Springsteen,480,4.1,/bruce-springsteen/,Rock
Buddy Holly,56,0.2,/buddy-holly/,Rock
Buffalo Springfield,38,0.2,/buffalo-springfield/,Rock
Bula,15,0,/bula/,Rock
Bumblefoot,74,0,/bumblefoot/,Rock
Bush,120,0.6,/bush/,Rock
Cachorro Grande,100,0.4,/cachorro-grande/,Rock
Cambio Negro Hc,4,0,/cambio-negro-hc/,Rock
Camisa de VÃªnus,95,0.6,/camisa-de-venus/,Rock
Camp Rock,29,1.6,/camp-rock/,Pop
Carbona,125,0.1,/carbona/,Rock
Carioca,2,0,/carioca/,Rock
Cascadura,76,0,/dr-cascadura/,Rock
CÃ¡ssia Eller,141,7.5,/cassia-eller/,Rock
Castello do Rei,10,0,/castello-do-rei/,Rock
Chantal Kreviazuk,73,0.6,/chantal-kreviazuk/,Rock
Charge,7,0,/charge/,Rock
Chris Cornell,78,1.2,/chris-cornell/,Rock
Chris Isaak,142,2.1,/chris-isaak/,Rock
Chris Richardson,4,0,/chris-richardson/,Rock
Cinema Bizarre,40,0.1,/cinema-bizarre/,Rock
Claudio Henrique,8,0,/claudio-henrique-seven-music/,Rock
Cleiton Sabino,2,0,/cleiton-sabino/,Rock
Cliff Richard,275,0,/cliff-richard-and-the-shadows/,Rock
Coheed And Cambria,109,0.1,/coheed-and-cambria/,Rock
Comunidade Zen,13,0,/comunidade-zen/,Rock
Coppala,5,0,/coppala/,Rock
Crazy Horse,1,0,/crazy-horse-11/,Rock
Cream,61,0.2,/cream/,Rock
Creedence Clearwater Revival,67,5.2,/creedence-clearwater-revival/,Rock
Crowded House,92,1,/crowded-house/,Pop
Dan Auerbach,23,0.1,/dan-auerbach/,Rock
Danko Jones,69,0,/danko-jones/,Rock
Danni Carlos,64,0.8,/danni-carlos/,Pop
Daughtry,78,1.4,/daughtry/,Rock
David Bowie,458,8.1,/david-bowie/,Rock
Deftones,142,0.7,/deftones/,Rock
Desprezo in CadÃªncia,1,0,/desprezo-in-cadencia/,Rock
DidÃ¡ticos,8,0,/didaticos/,Rock
Dido,89,2.4,/dido/,Rock
Diego Perin,4,0,/diego-perin/,Rock
Dirty Pretty Things,29,0,/dirty-pretty-things/,Rock
Disturbed,126,2.9,/disturbed/,Rock
