artist,songs,popularity,genre
Adam Lambert,110,1.4,Pop
Camp Rock,29,1.6,Pop
Crowded House,92,1,Pop
Danni Carlos,64,0.8,Pop
Drake Bell,90,0.3,Pop
Fiuk,29,0.3,Pop
George Michael,128,5.1,Pop
Hori,32,0.3,Pop
John People,12,9.8,Pop
Maroon 5,151,90.3,Pop
PAD,10,3.1,Pop
Roxette,207,9.7,Pop
Suite7,12,4.3,Pop
Vintage Play,5,1.3,Pop
BeyoncÌ©,249,40.8,Pop
Blake Lewis,47,1,Pop
CAMAR,2,0.8,Pop
Carte La,2,0.1,Pop
Cher Lloyd,57,0.6,Pop
Deejay FB,19,0.1,Pop
Hanz,3,0.5,Pop
Jason Derulo,103,3.1,Pop
Jay Sean,105,0.4,Pop
Karmin,59,0.1,Pop
LMFAO,44,0.7,Pop
Pharrell Williams,73,4,Pop
Rihanna,243,40,Pop
Sean Kingston,86,1.9,Pop
Shanell,95,0.1,Pop
Sharon DarkSide,1,1.9,Pop
SI AMES E,5,0.3,Pop
Tici Lino,9,0.7,Pop
Trezeback,1,1.8,Pop
Willow Smith,57,0.4,Pop
Yudi Tamashiro,34,0.1,Pop
*NSYNC,115,1,Pop
2M1,6,0.4,Pop
A-Ha,143,7.1,Pop
A-Teens,61,0.1,Pop
Adriano Andradi,17,5.1,Pop
Ahlex A.N,1,0.1,Pop
Alice Rosa,1,0.1,Pop
Aline Francelino,1,7.5,Pop
Aline Willy,3,6.6,Pop
Allycia,4,0.1,Pop
Alvin & The Chipmunks,71,0.3,Pop
Aly Michalka,11,0.1,Pop
Amanda Hellem,3,1.1,Pop
AnahÌ_,98,1.3,Pop
Andy Grammer,43,0.3,Pop
Anggun,67,12.8,Pop
Anitta,104,40.1,Pop
Anne-M,4,0.1,Pop
Annie Fabbreschi,7,0.1,Pop
AramÌÊ,5,1.9,Pop
Ariana Grande,155,246.8,Pop
Augustin Bernasconi,4,0.1,Pop
Aureo Cesar,1,1.8,Pop
Austin Mahone,86,0.9,Pop
Banda ZeroHum,1,4.2,Pop
BÌÁrbara Castro,1,0.1,Pop
Beatriz (Gospel),1,0.2,Pop
Beatriz Messias,6,1.6,Pop
BEATZ,1,0.3,Pop
Becky G,51,3.2,Pop
Belinda,109,0.5,Pop
Belita,2,0.6,Pop
Big Up,13,0.6,Pop
Billie The Vision and The Dancers,48,0.4,Pop
Blue,84,0.3,Pop
Bopnova,10,5.4,Pop
Bow Wow Wow,20,0.2,Pop
Br'oz,31,0.3,Pop
Brenno Creezy,22,0.8,Pop
Bridgit Mendler,52,0.5,Pop
Britney Spears,310,9.8,Pop
Bruna Izi e Lafaiete,1,1.3,Pop
Bruno Bessa,14,1.3,Pop
Burlesque,10,0.1,Pop
Caio Dias,10,4.1,Pop
Caio Lira,4,0.1,Pop
Camila,51,1,Pop
Camila Cabello,40,9.2,Pop
Camilla Fernandes,6,1.4,Pop
Carol Souza,1,0.4,Pop
Carolina Maria,1,0.4,Pop
Caroline Gaspar,4,0.2,Pop
Caroly,47,0.6,Pop
Carolzi,6,90.3,Pop
Carpechill,7,0.1,Pop
Carrossel de EmoÌ_Ìµes,12,0.3,Pop
Cash Cash,51,5.4,Pop
Cassie,69,0.2,Pop
Charice,75,0.2,Pop
Charle$ilva,1,0.1,Pop
Cheetah Girls,69,0.5,Pop
Cheryl,66,0.1,Pop
Christian ChÌÁvez,34,0.7,Pop
Christian Seidl,2,1,Pop
Christina Aguilera,220,9,Pop
Christina Grimmie,54,0.2,Pop
Christopher Cross,67,1.5,Pop
Christopher Uckermann,29,0.1,Pop
Chungha,17,0.1,Pop
Cimorelli,117,0.2,Pop
Cine,65,1.1,Pop
Claudia Leitte,146,5.3,Pop
Claudinei Oliveira,28,3.6,Pop
Cody Simpson,107,0.7,Pop
Colbie Caillat,103,5.5,Pop
Complexoj,13,0.7,Pop
Conor Maynard,49,0.6,Pop
Conrado BraganÌ_a,3,1.8,Pop
Corbin Bleu,34,0.1,Pop
Cordas Humanas,2,0.7,Pop
Cteste,4,0.4,Pop
Dado Dolabella,19,0.1,Pop
Dalto,31,0.3,Pop
Dani Crisani,2,5.1,Pop
Daniel Pellegrini,17,0.8,Pop
Daniel Siwek,8,0.2,Pop
Daniel y Enrique,12,1.3,Pop
Daniela AraÌ_jo,68,0.6,Pop
Dave August,4,1.1,Pop
David Archuleta,126,0.6,Pop
Deborah Campioni,9,0.1,Pop
Demi Lovato,182,21.1,Pop
Destro,2,0.1,Pop
Dima Bilan,65,0.1,Pop
Dj Guiih,12,5.5,Pop
Dolls,18,0.2,Pop
Double,2,0.5,Pop
Drich,24,0.8,Pop
Du Rique,1,0.1,Pop
DuBboy,10,0.1,Pop
Duffy,37,0.3,Pop
Eden's Crush,23,0.2,Pop
Edu Gueda,21,0.1,Pop
Elayne e Gislayne,2,0.2,Pop
Ellie Goulding,121,18.3,Pop
Ellis Oliver,6,0.8,Pop
Encantado,10,0.3,Pop
Enzo PaixÌ£o,3,0.7,Pop
Erasure,204,0.9,Pop
Eric Strada,14,39.9,Pop
ETTO,1,0.3,Pop
Fabiano Macieira,6,1.5,Pop
FASE4,2,0.3,Pop
Feito CafÌ©,5,0.4,Pop
Felipe Dylon,50,0.4,Pop
Fernanda Lemos,5,0.3,Pop
Fernando Leite,24,0.8,Pop
Fifth Harmony,131,5.5,Pop
Five,87,0.3,Pop
Fly,30,5.5,Pop
Forever In Your Mind,24,0.1,Pop
Fotos,10,2.3,Pop
Frailen Sertanejo,18,4.3,Pop
Fran Rosas,11,0.1,Pop
Frankie Goes To Hollywood,30,0.1,Pop
Gaabz,1,0.8,Pop
Gabbie Fadel,1,39.4,Pop
Gabi Borges,1,1.1,Pop
Gabys,10,13.3,Pop
Gang 90 & as Absurdetes,17,0.6,Pop
Geo,9,0.1,Pop
Geovane Santos,15,0.1,Pop
Geri Halliwell,61,0.1,Pop
Girlicious,53,13,Pop
Goldfrapp,84,4.3,Pop
Greyson Chance,37,0.1,Pop
Grupo Blend,12,0.2,Pop
Grupo Musicamp,4,1.8,Pop
Grupo Palavra Certa,3,0.4,Pop
Gus7avo Diniz,5,0.2,Pop
Gwenno,17,0.2,Pop
Hanson,235,1.6,Pop
Henrrique Vieira,1,1.8,Pop
High School Musical - A SeleÌ_Ì£o,23,7.2,Pop
Hilreli,1,2.1,Pop
IM5,28,0.4,Pop
Ismael Lopes,2,0.1,Pop
Ivete Sangalo,275,11.5,Pop
IZA,30,14.6,Pop
James Arthur,86,20.9,Pop
James Biaggie,4,2.5,Pop
Jamie Lynn Spears,18,1.9,Pop
Janet Jackson,235,2.1,Pop
Jasmine Villegas,54,12.9,Pop
Jax Jones,6,0.3,Pop
Jennette McCurdy,38,0.1,Pop
Jenny Rocha,1,4,Pop
Jessica Simpson,94,0.4,Pop
Jewel,243,0.3,Pop
Joan Osborne,111,1.8,Pop
JoÌ£o Marx,1,2.4,Pop
JoJo,142,1.4,Pop
Jonatas Ribeiro,5,2,Pop
Jordan Knight,38,0.8,Pop
Jordin Sparks,78,0.8,Pop
Josh Rouse,66,0.4,Pop
Ju Ribeiro,5,0.2,Pop
Juan Marcus e VinÌ_cius,44,0.3,Pop
Juliana Bumbeer,5,1.5,Pop
Juliana Starry,4,0.3,Pop
Julieta Venegas,153,0.9,Pop
Jullie,34,0.2,Pop
JÌ_nior Soares,1,1.6,Pop
JÌ_nior Soul,16,14.5,Pop
Kaleb KaraÌ£,4,0.2,Pop
Kandies,1,1.4,Pop
Kat Graham,25,0.1,Pop
Katy Perry,167,18.3,Pop
Kdrew,20,6.1,Pop
Kekel Pires,2,0.1,Pop
Kesha,193,2.6,Pop
Kid Abelha,160,4.8,Pop
KLB,129,2.5,Pop
Korth,1,0.4,Pop
Kudai,84,0.1,Pop
Lady Antebellum,101,3.5,Pop
Language of Flowers,12,14.2,Pop
Lanne,2,0.1,Pop
