"","count","artist","album","song","genre","year","popularity","acousticness","danceability","energy","instrumentalness","liveness","speechiness","tempo","valence","key","mode","duration"
"1",1,"Bella Renee","Swimming Pools","Swimming Pools","pop",2021,40,0.27,0.629,0.524,1.25e-05,0.05,0.0407,119.992,0.508,4,0,202027
"2",2,"tyDi","You Never Know","You Never Know","pop",2021,51,0.0871,0.621,0.955,0.00326,0.296,0.0444,126.966,0.424,0,1,139173
"3",3,"Electric Polar Bears","Too Good To Lose","Too Good To Lose","pop",2021,55,0.309,0.674,0.95,3.14e-05,0.319,0.116,127.093,0.47,11,1,187087
"4",4,"My Bad","Delusions - EP","Viva La Vida","pop",2021,48,0.025,0.548,0.755,0,0.0985,0.0552,97.927,0.659,11,0,146939
"5",5,"xole","adventure","adventure","pop",2021,35,0.632,0.663,0.573,0.000526,0.249,0.0446,120.098,0.292,0,1,224000
"6",6,"RAKURA","Time will tell","Time will tell","pop",2021,36,0.167,0.724,0.644,0,0.0867,0.132,92.853,0.787,1,0,237780
"7",7,"Marshmello","Leave Before You Love Me","Leave Before You Love Me (with Jonas Brothers)","pop",2021,89,0.00226,0.721,0.738,4.41e-06,0.118,0.0403,119.976,0.637,7,1,154983
"8",8,"ILLENIUM","ASCEND","In Your Arms (with X Ambassadors)","pop",2019,67,0.198,0.404,0.806,0,0.114,0.0496,148.036,0.112,2,1,220730
"9",9,"Electric Polar Bears","Love Live Dance Repeat","Love Live Dance Repeat","pop",2021,49,0.0586,0.738,0.909,0.0193,0.364,0.061,124.988,0.711,9,1,189120
"10",10,"My Bad","Delusions - EP","Do You Really","pop",2021,47,0.0273,0.616,0.731,0,0.215,0.061,99.985,0.618,0,1,182400
"11",11,"xole","adventure","garden star","pop",2021,35,0.533,0.688,0.549,0.000146,0.766,0.0856,111.992,0.5,9,1,167409
"12",12,"Ily","Fire","Fire","pop",2021,37,0.197,0.591,0.6,2.31e-06,0.12,0.0524,159.977,0.373,8,1,126950
"13",13,"LeRome Swiss","Full Moon","My Way","pop",2021,37,0.00474,0.617,0.928,0,0.0918,0.153,153.999,0.521,8,0,270487
"14",14,"Icona Pop","Off Of My Mind","Off Of My Mind","pop",2021,72,0.128,0.798,0.752,0.0362,0.0795,0.227,125.996,0.565,1,1,164740
"15",15,"LeRome Swiss","Full Moon","Get Out","pop",2021,35,0.116,0.833,0.46,0,0.125,0.0532,132.037,0.128,10,1,174750
"16",16,"Zedd","Funny","Funny","pop",2020,70,0.512,0.664,0.66,0,0.26,0.0243,99.946,0.355,5,1,221466
"17",17,"Midnight Village","I Can't Keep Living This Way","I Can't Keep Living This Way","pop",2021,35,0.449,0.606,0.588,0.000343,0.109,0.037,123.901,0.405,11,1,176427
"18",18,"2LATE","Cigarettes","Cigarettes","pop",2021,39,0.322,0.387,0.571,0,0.361,0.0633,158.085,0.302,6,0,178501
"19",19,"xole","adventure","let go","pop",2021,35,0.714,0.805,0.557,0.0153,0.341,0.0451,120.011,0.403,11,0,174000
"20",20,"Cheat Codes","Hurricane (with Tyson Ritter)","Hurricane (with Tyson Ritter)","pop",2021,62,0.126,0.583,0.664,0,0.246,0.0516,149.982,0.525,3,1,144808
"21",21,"xole","adventure","attach","pop",2021,35,0.561,0.64,0.578,0.000138,0.352,0.0448,82.006,0.388,0,1,149268
"22",22,"My Bad","Delusions - EP","Blurred Lines","pop",2021,49,0.26,0.738,0.773,0,0.105,0.0528,106.017,0.19,4,0,199245
"23",23,"LeRome Swiss","Full Moon","Mírame","pop",2021,37,0.0988,0.77,0.668,0,0.0943,0.0494,135.933,0.654,7,0,178235
"24",24,"Loud Luxury","Safe With Me","Safe With Me","pop",2021,53,0.0386,0.691,0.738,0.00112,0.0948,0.0428,121.972,0.493,6,0,149279
"25",25,"Electric Polar Bears","Simple Things (VIP Remix)","Simple Things - VIP Remix","pop",2021,43,0.231,0.664,0.915,9.47e-05,0.07,0.123,127.946,0.407,0,1,174375
"26",26,"xole","adventure","blossom","pop",2021,35,0.296,0.708,0.588,0.146,0.0464,0.0676,147.001,0.487,1,1,185918
"27",27,"BRKLYN","Chocolate Shrooms","Chocolate Shrooms","pop",2021,31,0.0128,0.761,0.89,0.00161,0.0746,0.0706,118,0.695,7,1,148027
"28",28,"My Bad","Delusions - EP","Say When","pop",2021,48,0.148,0.496,0.752,0,0.23,0.237,140.04,0.255,0,1,171429
"29",29,"Rynn","Cliff Jumping","Cliff Jumping","pop",2021,42,0.381,0.65,0.53,0.000219,0.205,0.0552,159.968,0.255,0,1,196401
"30",30,"UNDNE","Give or Take","Give or Take","pop",2021,39,0.461,0.649,0.587,0.0175,0.0923,0.105,149.941,0.373,1,0,262400
"31",31,"Surf Mesa","Carried Away (Love To Love) [Tchami Remix]","Carried Away (Love To Love) (with Madison Beer) [Tchami Remix]","pop",2021,57,0.0662,0.704,0.66,0.596,0.075,0.0439,127.008,0.826,10,0,289500
"32",32,"Swedish House Mafia","Lifetime","Lifetime (with Ty Dolla $ign & 070 Shake)","pop",2021,75,0.0201,0.591,0.719,3.17e-06,0.906,0.215,100.014,0.142,11,0,186805
"33",33,"Gryffin","Best Is Yet To Come (with Kyle Reynolds) [Acoustic]","Best Is Yet To Come (with Kyle Reynolds) - Acoustic","pop",2021,49,0.574,0.674,0.601,0,0.115,0.0256,110.031,0.455,1,0,205159
"34",34,"Tiësto","Don't Be Shy","Don't Be Shy","pop",2021,91,0.198,0.77,0.787,0,0.262,0.0583,119.986,0.513,11,0,140500
"35",35,"Dua Lipa","Levitating (feat. DaBaby)","Levitating (feat. DaBaby)","pop",2020,87,0.00883,0.702,0.825,0,0.0674,0.0601,102.977,0.915,6,0,203064
"36",36,"220 KID","Stupid Feelings","Stupid Feelings","pop",2021,73,0.0152,0.715,0.778,0,0.121,0.0365,123.954,0.756,6,0,166925
"37",37,"NOTD","I Don't Know Why","I Don't Know Why","pop",2020,73,0.124,0.499,0.898,7.2e-06,0.0832,0.124,120.04,0.618,8,0,207668
"38",38,"Joel Corry","OUT OUT (feat. Charli XCX & Saweetie)","OUT OUT (feat. Charli XCX & Saweetie)","pop",2021,90,0.018,0.787,0.833,0.00747,0.0374,0.0478,123.97,0.796,8,1,162604
"39",39,"AJ Mitchell","Slow Dance (feat. Ava Max) [Sam Feldt Remix]","Slow Dance (feat. Ava Max) - Sam Feldt Remix","pop",2019,67,0.114,0.732,0.85,2.02e-06,0.0388,0.0444,124.024,0.372,1,1,193548
"40",40,"Sigala","You for Me","You for Me","pop",2021,79,0.0481,0.733,0.886,1.81e-06,0.191,0.0426,126.031,0.696,2,0,175435
"41",41,"Tate McRae","you broke me first (Gryffin Remix)","you broke me first - Gryffin Remix","pop",2020,60,0.361,0.57,0.797,0,0.155,0.0416,124.035,0.227,1,0,215648
"42",42,"Kygo","Golden Hour","Lose Somebody","pop",2020,76,0.344,0.58,0.586,0,0.0755,0.0357,147.988,0.507,1,1,199549
"43",43,"Gryffin","Body Back (feat. Maia Wright)","Body Back (feat. Maia Wright)","pop",2019,66,0.0948,0.686,0.83,1.33e-06,0.182,0.0369,123.032,0.486,8,1,214634
"44",44,"Sigala","Lasting Lover","Lasting Lover","pop",2020,77,0.197,0.676,0.786,0,0.0943,0.0478,125.983,0.483,1,1,218359
"45",45,"NOTD","Cry Dancing","Cry Dancing","pop",2020,62,0.304,0.664,0.884,0,0.0745,0.0885,120.034,0.483,3,1,179397
"46",46,"Alesso","Midnight (feat. Liam Payne)","Midnight (feat. Liam Payne)","pop",2020,73,0.0561,0.587,0.648,0,0.115,0.0439,144.028,0.281,11,0,220141
"47",47,"Ava Max","Heaven & Hell","My Head & My Heart","pop",2020,82,0.0697,0.614,0.934,0,0.121,0.07,116.001,0.436,9,0,174760
"48",48,"Sam Feldt","Magnets EP","Post Malone (feat. RANI)","pop",2019,72,0.0771,0.59,0.642,0,0.105,0.122,107.356,0.651,7,1,174444
"49",49,"Joel Corry","BED","BED","pop",2021,67,0.0134,0.663,0.783,0.00179,0.325,0.0393,123.986,0.622,6,1,178088
